date,open,high,low,close,adjusted_close,volume,warning,Stock
2025-04-09,1200.0,1205.0,1190.0,1200.0,1181.1765,504100.0,Data is limited by one year as you have free subscription,BOLT
2025-04-09,50.0,50.0,50.0,50.0,50.0,0.0,Data is limited by one year as you have free subscription,BOSS
2025-04-09,262.0,280.0,252.0,266.0,258.0761,32100.0,Data is limited by one year as you have free subscription,BPFI
2025-04-09,530.0,530.0,530.0,530.0,519.7951,207300.0,Data is limited by one year as you have free subscription,BPII
2025-04-09,72.0,72.0,61.0,62.0,62.0,546600.0,Data is limited by one year as you have free subscription,BPTR
2025-04-09,5700.0,5825.0,5700.0,5700.0,5700.0,2400.0,Data is limited by one year as you have free subscription,BRAM
2025-04-09,4700.0,4820.0,4170.0,4250.0,4250.0,24074500.0,Data is limited by one year as you have free subscription,BREN
2025-04-09,2040.0,2190.0,2030.0,2170.0,2153.2989,53765300.0,Data is limited by one year as you have free subscription,BRIS
2025-04-09,274.0,294.0,274.0,276.0,276.0,454917700.0,Data is limited by one year as you have free subscription,BRMS
2025-04-09,700.0,700.0,700.0,700.0,700.0,0.0,Data is limited by one year as you have free subscription,BRNA
2025-04-09,640.0,660.0,600.0,600.0,600.0,67819200.0,Data is limited by one year as you have free subscription,BRPT
2025-04-09,50.0,51.0,50.0,50.0,50.0,8413400.0,Data is limited by one year as you have free subscription,BRRC
2025-04-09,50.0,50.0,50.0,50.0,50.0,435600.0,Data is limited by one year as you have free subscription,BSBK
2025-04-09,725.0,745.0,720.0,730.0,730.0,8176000.0,Data is limited by one year as you have free subscription,BSDE
2025-04-09,840.0,855.0,840.0,855.0,855.0,6600.0,Data is limited by one year as you have free subscription,BSIM
2025-04-09,80.0,80.0,69.0,70.0,70.0,95082100.0,Data is limited by one year as you have free subscription,BSML
2025-04-09,3950.0,3970.0,3870.0,3920.0,3487.4634,1173700.0,Data is limited by one year as you have free subscription,BSSR
2025-04-09,1945.0,1945.0,1945.0,1945.0,1945.0,0.0,Data is limited by one year as you have free subscription,BSWD
2025-04-09,6.0,6.0,6.0,6.0,6.0,99604900.0,Data is limited by one year as you have free subscription,BTEK
2025-04-09,50.0,50.0,50.0,50.0,50.0,0.0,Data is limited by one year as you have free subscription,BTEL
2025-04-09,420.0,420.0,420.0,420.0,420.0,0.0,Data is limited by one year as you have free subscription,BTON
2025-04-09,1915.0,1920.0,1900.0,1915.0,1869.8213,6400.0,Data is limited by one year as you have free subscription,BTPN
2025-04-09,825.0,865.0,820.0,840.0,791.2408,4981700.0,Data is limited by one year as you have free subscription,BTPS
2025-04-09,1720.0,1735.0,1715.0,1725.0,837.1558,250600.0,Data is limited by one year as you have free subscription,BUAH
2025-04-09,188.0,188.0,186.0,188.0,180.7181,7800.0,Data is limited by one year as you have free subscription,BUDI
2025-04-09,126.0,129.0,123.0,124.0,124.0,357481300.0,Data is limited by one year as you have free subscription,BUKA
2025-04-09,755.0,755.0,745.0,745.0,745.0,13600.0,Data is limited by one year as you have free subscription,BUKK
2025-04-09,106.0,113.0,104.0,112.0,112.0,236315500.0,Data is limited by one year as you have free subscription,BULL
2025-04-09,80.0,83.0,75.0,77.0,77.0,622188000.0,Data is limited by one year as you have free subscription,BUMI
2025-04-09,62.0,64.0,61.0,62.0,62.0,7838300.0,Data is limited by one year as you have free subscription,BUVA
2025-04-09,78.0,79.0,75.0,76.0,76.0,2716100.0,Data is limited by one year as you have free subscription,BVIC
2025-04-09,54.0,54.0,50.0,51.0,51.0,49079500.0,Data is limited by one year as you have free subscription,BWPT
2025-04-09,19875.0,20000.0,19875.0,20000.0,19803.1919,51400.0,Data is limited by one year as you have free subscription,BYAN
2025-04-09,129.0,129.0,119.0,121.0,121.0,1289400.0,Data is limited by one year as you have free subscription,CAKK
2025-04-09,140.0,156.0,140.0,150.0,150.0,12535600.0,Data is limited by one year as you have free subscription,CAMP
2025-04-09,37.0,37.0,37.0,37.0,37.0,10200.0,Data is limited by one year as you have free subscription,CANI
2025-04-09,202.0,202.0,191.0,191.0,191.0,12428600.0,Data is limited by one year as you have free subscription,CARE
2025-04-09,86.0,86.0,83.0,85.0,85.0,2292800.0,Data is limited by one year as you have free subscription,CARS
2025-04-09,745.0,750.0,715.0,745.0,745.0,130551800.0,Data is limited by one year as you have free subscription,CASA
2025-04-09,54.0,54.0,53.0,53.0,53.0,72200.0,Data is limited by one year as you have free subscription,CASH
2025-04-09,1740.0,1775.0,1730.0,1770.0,1770.0,970500.0,Data is limited by one year as you have free subscription,CASS
2025-04-09,5000.0,5150.0,4750.0,4990.0,4986.0553,10219200.0,Data is limited by one year as you have free subscription,CBDK
2025-04-09,50.0,50.0,50.0,50.0,50.0,0.0,Data is limited by one year as you have free subscription,CBMF
2025-04-09,193.0,193.0,179.0,190.0,188.9674,758300.0,Data is limited by one year as you have free subscription,CBPE
2025-04-09,22.0,22.0,22.0,22.0,22.0,3105500.0,Data is limited by one year as you have free subscription,CBRE
2025-04-09,995.0,995.0,995.0,995.0,995.0,0.0,Data is limited by one year as you have free subscription,CBUT
2025-04-09,338.0,390.0,338.0,362.0,362.0,662900.0,Data is limited by one year as you have free subscription,CCSI
2025-04-09,2030.0,2080.0,1990.0,2020.0,1920.6557,38500.0,Data is limited by one year as you have free subscription,CEKA
2025-04-09,51.0,58.0,50.0,58.0,58.0,12017900.0,Data is limited by one year as you have free subscription,CENT
