symbol,company_name_th,sector,roe,pe_ratio,de_ratio
ILM,บริษัท อินเด็กซ์ ลิฟวิ่งมอลล์ จำกัด (มหาชน),Consumer Cyclical,12.1120006,9.662162,64.268
S&J,บ.เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),,12.01,,5.344
RJH,บริษัท โรงพยาบาลราชธานี จำกัด (มหาชน),Healthcare,11.972999600000001,16.04651,57.566
SICT,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),Technology,11.9490005,12.315789,1.561
NTSC,บริษัท นิวทรีชั่น เอสซี จำกัด (มหาชน),Basic Materials,11.933,6.861702,9.683
HANN,บริษัท โรงพยาบาลมุกดาหารอินเตอร์เนชั่นแนล จำกัด (มหาชน),Healthcare,11.9219996,21.199999,25.841
GFPT,บริษัท จีเอฟพีที จำกัด (มหาชน),Consumer Defensive,11.9160004,5.0793653,19.24
LTMH,บริษัท แอลทีเอ็มเอช จำกัด (มหาชน),Communication Services,11.895,22.4,8.89
OHTL,บริษัท โอเอชทีแอล จำกัด (มหาชน),Consumer Cyclical,11.88,15.103415,70.792
PLANB,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),Communication Services,11.833,18.48,27.684
SEAOIL,บริษัท ซีออยล์ จำกัด (มหาชน),Energy,11.7790006,9.142858,1.572
WP,บริษัท ดับบลิวพี เอ็นเนอร์ยี่ จำกัด (มหาชน),Utilities,11.737,13.428572,32.754
LRH,บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน),Consumer Cyclical,11.723,3.6804798,34.123
CPF,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),Consumer Defensive,11.709999999999999,5.852273,205.188
LPH,บริษัท โรงพยาบาล ลาดพร้าว จำกัด (มหาชน),Healthcare,11.63,16.26087,17.222
KWC,บริษัท กรุงเทพโสภณ จำกัด (มหาชน),Real Estate,11.6160005,17.127071,1.472
ROCTEC,บริษัท ร็อคเทค โกลบอล จำกัด (มหาชน),Technology,11.598,10.166667,7.358
ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),Industrials,11.5830004,9.809524,47.77
PJW,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),Consumer Cyclical,11.569,7.5862074,106.241
SELIC,บริษัท ซีลิค คอร์พ จำกัด (มหาชน),Basic Materials,11.517999,12.09091,37.869
ROCK,บริษัท ร้อกเวิธ จำกัด (มหาชน),Consumer Cyclical,11.4870004,4.686192,53.848
TNH,บริษัท โรงพยาบาลไทยนครินทร์ จำกัด (มหาชน),Healthcare,11.4580005,15.238096,0.045
NCP,บริษัท ไนซ์ คอล จำกัด (มหาชน),Industrials,11.440999999999999,9.454545,0.67
ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),Consumer Defensive,11.434,8.928572,0.318
TFMAMA,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),Consumer Defensive,11.392,15.876975,0.214
SNP,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),Consumer Cyclical,11.371,16.491228,22.224
PTTEP,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),Energy,11.359999,9.255599,24.4
MASTER,บริษัท มาสเตอร์ สไตล์ จำกัด (มหาชน),Healthcare,11.315999999999999,8.32,18.719
UNIQ,บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),Industrials,11.277000600000001,3.186813,211.574
PIN,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),Real Estate,11.214,7.3103447,104.191
JDF,บริษัท เจดีฟู้ด จำกัด (มหาชน),Consumer Defensive,11.209,13.266666,0.299
AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),Financial Services,11.2069994,7.8391547,217.268
NCAP,บริษัท เน็คซ์ แคปปิตอล จำกัด (มหาชน),Financial Services,11.178,6.878049,100.103
