symbol,company_name,industry_group,sector,market_cap,beta,current_price,dividend_yield
ALLA,บริษัท ออลล่า จำกัด (มหาชน),Industrial Distribution,Industrials,732000000.0,0.276,1.22,8.06
ALLY,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,REIT - Retail,Real Estate,3846040064.0,0.314,4.4,10.0
ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),Real Estate - Development,Real Estate,4367415808.0,-0.225,0.47,
AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),Marine Shipping,Industrials,2175250432.0,-0.159,4.2,7.14
AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),Credit Services,Financial Services,888091392.0,0.19,0.75,
AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),Scientific & Technical Instruments,Technology,1436400000.0,0.33,3.42,7.76
AMARIN,บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),Publishing,Communication Services,2715325952.0,,2.72,2.21
AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),Real Estate - Development,Real Estate,21849999360.0,0.187,19.0,4.62
ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),Real Estate - Development,Real Estate,354000000.0,,0.59,
AMATAR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,REIT - Industrial,Real Estate,2379968512.0,0.308,6.65,6.99
AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),Real Estate Services,Real Estate,2387612160.0,0.064,2.24,2.19
AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),Steel,Basic Materials,998600256.0,0.644,2.08,3.77
AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),Engineering & Construction,Industrials,224469808.0,-0.031,0.38,
ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),Real Estate - Development,Real Estate,1749827072.0,-0.001,0.42,
ANI,บริษัท เอเชีย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด (มหาชน),Integrated Freight & Logistics,Industrials,5174400000.0,0.019,2.8,1.77
AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),Airports & Air Services,Industrials,746427842560.0,0.102,52.25,1.49
AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),Real Estate - Development,Real Estate,28627687424.0,0.382,9.1,6.28
APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),Household & Personal Products,Consumer Defensive,1668000000.0,,2.78,3.25
APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),Engineering & Construction,Industrials,871199936.0,0.085,1.32,
APO,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),Packaged Foods,Consumer Defensive,639200000.0,,1.88,10.29
APP,บริษัท แอพพลิแคด จำกัด (มหาชน),Software - Application,Technology,750400000.0,0.461,2.68,8.52
APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),Farm Products,Consumer Defensive,2101095680.0,-0.05,2.26,9.24
AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),Advertising Agencies,Communication Services,856868608.0,0.029,0.15,
ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),Specialty Business Services,Industrials,219020000.0,,0.47,4.35
AS,บริษัท แอสเฟียร์ อินโนเวชั่นส์ จำกัด (มหาชน),Electronic Gaming & Multimedia,Communication Services,1467785472.0,,2.94,6.54
ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),Rental & Leasing Services,Industrials,856679936.0,0.096,1.18,
ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),Electrical Equipment & Parts,Industrials,2129538560.0,-0.012,4.12,8.41
